item_id,category,description,name,price
UPRM1,Electronics,【11th Gen Intel Core i5-1135G7】,Laptop,968.93
F29A2,Sports & Outdoors,100% Synthetic,Sports Shoes,191.98
EHVJU,"Arts, Crafts & Sewing",Set of 12,Canvas,365.33
EWRGH,Electronics,,Airpods,22.99
NNIUF,"Clothing, Shoes & Jewelry",cotton feels great for comfort that lasts.,Necklace,875.45
D86Q5,Toys & Games,,Teddy Bear,484.24
0LQL8,Office Products,For everyday office use,Marker,557.14
V6VPI,"Arts, Crafts & Sewing",Set of 12,Easel,511.87
H6QIM,Toys & Games,,Barbie,953.18
0PUZT,Pet Supplies,,Water and Food Bowls,608.64
6JISQ,Pet Supplies,,Pet Grooming,1368.10
3FESP,Toys & Games,"Unbox the package to find a soft, plush, sparkly doll!",Barbie,341.59
AZ33I,Sports & Outdoors,,Sports Shoes,1507.13
WISA6,Toys & Games,,Kite,610.94
FLEAM,Toys & Games,make a great gift for kids 3 to 7 years olds,Hot Wheels,443.44
5OB3J,Beauty & Personal Care,,Toothpaste,348.20
WQQV4,"Arts, Crafts & Sewing",,Acrylic Paints,1201.79
U26HZ,Beauty & Personal Care,,Bath Soap,185.43
JN009,Home & Kitchen,One of a kind stainless steel,Knives,1170.45
NV9W6,Electronics,,Mobile,37.90
WULRT,Toys & Games,make a great gift for kids 3 to 7 years olds,Teddy Bear,625.61
2V1QS,Pet Supplies,For your lovely pet,Pet Grooming,592.33
BOMRW,Sports & Outdoors,100% Synthetic,Badminton Racket,459.63
ERILV,Home & Kitchen,One of a kind stainless steel,Spoons,828.32
HPXO7,Sports & Outdoors,,Sports Shoes,1302.29
G7EAL,Office Products,,Sticky Notes,225.23
9PCQT,"Arts, Crafts & Sewing",Set of 10,Paint Brushes,1406.79
MCIS5,"Arts, Crafts & Sewing",,Curtains,944.82
KUYN0,Electronics,,Mobile,1096.50
TK7VV,Beauty & Personal Care,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Toothpaste,839.70
6DAUK,Others,,Plants,109.62
62MMK,Sports & Outdoors,100% Synthetic,Hat,469.85
23NVZ,Toys & Games,,Hot Wheels,1795.63
4VJ18,Beauty & Personal Care,Suitable for all skin types,Handwash,1876.49
F4JCQ,"Arts, Crafts & Sewing",,Watercolor Pens,778.71
JVEUI,Home & Kitchen,,Sauce Pots,756.21
I5RIG,Toys & Games,,Teddy Bear,1739.42
27ZOS,"Clothing, Shoes & Jewelry",,Hoodie,1756.15
XUX1B,Sports & Outdoors,100% Synthetic,Hat,1392.38
MJXFW,Sports & Outdoors,,Sports Shoes,1439.49
W7RZ1,Pet Supplies,For your lovely pet,Leash And Collar,1146.77
IER7G,Pet Supplies,For your lovely pet,Pet Grooming,401.90
W0EDA,Electronics,,Laptop,359.48
929IG,Beauty & Personal Care,Suitable for all skin types,Handwash,1055.55
8PPHV,Electronics,,Airpods,827.66
PQ9L4,Sports & Outdoors,100% Synthetic,Badminton Racket,823.62
99Z0Y,Office Products,For everyday office use,Pencil,627.15
YYWRX,Beauty & Personal Care,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Toothpaste,567.57
VK20V,Others,,Nail Paint,1509.51
XOWG8,"Arts, Crafts & Sewing",Set of 10,Acrylic Paints,1231.34
PPWLF,"Clothing, Shoes & Jewelry",100% Cotton,Hoodie,903.95
RNA89,Sports & Outdoors,Cushioning provides excellent shock absorption,Badminton Racket,1326.77
BS6HD,"Clothing, Shoes & Jewelry",,Jeans,832.54
OSGSP,Beauty & Personal Care,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Toothpaste,578.76
XTDE4,"Arts, Crafts & Sewing",,Canvas,1267.68
7Z0U1,"Clothing, Shoes & Jewelry",,Necklace,1697.10
XLCIU,Others,for everyday use,Lamp,345.59
IQT28,Others,,Plants,340.66
HLMER,Toys & Games,,Teddy Bear,511.53
AL3XS,Toys & Games,make a great gift for kids 3 to 7 years olds,Kite,178.27
MJL8T,Home & Kitchen,,Mats,1674.53
EAIPH,Electronics,,Speaker,1883.32
Q60SI,"Arts, Crafts & Sewing",Set of 10,Easel,1896.32
DUV05,"Clothing, Shoes & Jewelry",cotton feels great for comfort that lasts.,Hoodie,341.65
3PO4Q,Others,,Nail Paint,403.95
30QV1,"Clothing, Shoes & Jewelry",100% Cotton,Boots,876.39
IYW7I,Pet Supplies,,Leash And Collar,1825.44
25GU3,"Clothing, Shoes & Jewelry",,Necklace,1680.84
RWYF7,Others,for everyday use,Lamp,147.47
DNJBF,Toys & Games,make a great gift for kids 3 to 7 years olds,Teddy Bear,814.37
CYM17,Others,,Plants,1638.58
3F0CO,"Clothing, Shoes & Jewelry",Machine Wash,Hoodie,427.77
H4VMN,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,Spoons,640.13
UTTIV,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,Pans,770.72
1DKKP,Office Products,For everyday office use,Paper Clips,915.11
F8X32,Electronics,Reams of high-bandwidth DDR4 RAM,Laptop,1952.51
5636T,Sports & Outdoors,,Badminton Racket,101.93
A043H,Sports & Outdoors,Cushioning provides excellent shock absorption,Basketball,703.73
NCCB8,Sports & Outdoors,,Sports Shoes,1442.72
YU60G,Beauty & Personal Care,,Toothpaste,663.80
U4G8R,Sports & Outdoors,,Badminton Racket,1480.60
E8LHO,Beauty & Personal Care,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Bath Soap,1539.40
WKSQW,Office Products,,Pencil,1581.12
CTNDL,Others,,Nail Paint,528.31
MWWR4,Pet Supplies,,Water and Food Bowls,821.86
3HN44,"Arts, Crafts & Sewing",,Canvas,904.89
EZF9Y,"Arts, Crafts & Sewing",Set of 10,Canvas,112.30
URREL,Home & Kitchen,,Sauce Pots,1805.88
6K2HM,Pet Supplies,For your lovely pet,Leash And Collar,289.90
7PDFD,Toys & Games,make a great gift for kids 3 to 7 years olds,Hot Wheels,58.49
FKNOZ,Office Products,,Paper Clips,430.22
4KBAD,"Arts, Crafts & Sewing",,Canvas,1128.40
K2RI2,Beauty & Personal Care,Suitable for all skin types,Toothpaste,1141.22
B2V0D,Pet Supplies,For your lovely pet,Pet Grooming,920.24
LQR71,"Arts, Crafts & Sewing",,Curtains,1783.25
21N2P,Pet Supplies,,Pet Bed,776.63
5I0M8,Home & Kitchen,,Pans,496.48
E8N0Q,"Clothing, Shoes & Jewelry",100% Cotton,Hoodie,1650.25
97VNU,"Clothing, Shoes & Jewelry",,Jacket,1646.95
ANP60,Others,,Lamp,1604.63
WJ5PN,"Clothing, Shoes & Jewelry",,Jeans,1487.54
ISAQS,Office Products,For everyday office use,Marker,1603.20
QMI7U,"Clothing, Shoes & Jewelry",cotton feels great for comfort that lasts.,Necklace,1639.24
NI6B0,"Arts, Crafts & Sewing",,Acrylic Paints,1640.18
DR9TG,Toys & Games,,Teddy Bear,1691.55
HFI6N,Toys & Games,,Kite,27.32
H8S5Z,Pet Supplies,,Water and Food Bowls,821.70
Y62J9,Home & Kitchen,,Salad Spinner,152.10
FZU25,"Arts, Crafts & Sewing",,Paint Brushes,1340.86
ORQLC,Home & Kitchen,One of a kind stainless steel,Pans,822.78
K7GOF,Home & Kitchen,One of a kind stainless steel,Salad Spinner,1003.28
OTCB8,Electronics,【11th Gen Intel Core i5-1135G7】,Charger,1013.73
983FG,Home & Kitchen,,Knives,979.14
QV81R,Pet Supplies,,Pet Grooming,1319.19
ABET2,"Clothing, Shoes & Jewelry",,Jacket,463.73
ORIBA,"Arts, Crafts & Sewing",,Canvas,117.30
0LN19,Home & Kitchen,,Pans,1050.57
DDY25,Beauty & Personal Care,,Toothpaste,1394.59
4W0Z5,Toys & Games,make a great gift for kids 3 to 7 years olds,Teddy Bear,1165.19
NT1N2,"Clothing, Shoes & Jewelry",,Rings,507.63
P8L6L,"Clothing, Shoes & Jewelry",,Necklace,25.96
2XDVJ,Others,,Plants,257.89
6C0YU,Electronics,"【Display and Graphics】17.3 diagonal, FHD ",Laptop Stand,178.84
C8AZJ,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,Can Opener,41.32
TSTDQ,Electronics,"【Display and Graphics】17.3 diagonal, FHD ",Airpods,1552.57
JPMCQ,Toys & Games,"Unbox the package to find a soft, plush, sparkly doll!",Hot Wheels,1255.16
P3CPN,Electronics,,Ipad,325.89
OLXY2,Pet Supplies,,Pet Grooming,579.50
WFD3U,Electronics,,Mobile,932.52
MKF6J,Home & Kitchen,One of a kind stainless steel,Salad Spinner,1630.64
E36YW,Sports & Outdoors,,Basketball,564.99
1GASO,Electronics,【11th Gen Intel Core i5-1135G7】,Airpods,723.39
48B2B,Others,for everyday use,Lamp,820.79
VULNG,Toys & Games,make a great gift for kids 3 to 7 years olds,Teddy Bear,1962.39
EP9G5,Electronics,"【Display and Graphics】17.3 diagonal, FHD ",Laptop Stand,1285.29
PX3X4,Home & Kitchen,,Can Opener,447.73
LLBGF,Others,for everyday use,Lamp,542.99
MNG3L,Sports & Outdoors,100% Synthetic,Badminton Racket,1366.24
Y4G2N,"Arts, Crafts & Sewing",,Oil Paints,1593.46
OXGE5,"Clothing, Shoes & Jewelry",,Tshirt,1832.63
ZLQGX,Beauty & Personal Care,,Facewash,468.33
V5BD4,Beauty & Personal Care,,Bath Soap,162.97
TTDYQ,Office Products,For everyday office use,Paper Clips,1995.87
1DFWA,Beauty & Personal Care,,Handwash,947.85
ASY85,Home & Kitchen,,Can Opener,832.34
DFNZO,Home & Kitchen,,Can Opener,1934.25
5KOO9,Home & Kitchen,,Bowls,410.26
CGBDA,"Clothing, Shoes & Jewelry",,Jacket,700.32
XFCDR,"Clothing, Shoes & Jewelry",,Jacket,922.52
WZXRL,Electronics,,Ipad,1490.99
4KY37,Sports & Outdoors,,Hat,522.12
8GYGH,Beauty & Personal Care,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Serum,844.51
ALQTG,Sports & Outdoors,,Hat,876.77
ZMJ8E,Sports & Outdoors,100% Synthetic,Hat,1319.75
N6Y2B,Toys & Games,"Unbox the package to find a soft, plush, sparkly doll!",Barbie,1795.60
TUVNQ,Beauty & Personal Care,,Serum,1161.44
NI4T4,Electronics,"【Display and Graphics】17.3 diagonal, FHD ",Kindle,897.90
0JSUM,Home & Kitchen,,Can Opener,170.71
POKYF,Beauty & Personal Care,,Serum,687.93
T1PRR,Electronics,【11th Gen Intel Core i5-1135G7】,Laptop Stand,1725.21
YEBZV,"Clothing, Shoes & Jewelry",,Jacket,789.46
IWQC1,Toys & Games,,Kite,236.76
1O4BK,Sports & Outdoors,Cushioning provides excellent shock absorption,Badminton Racket,1992.49
Q5J1V,Sports & Outdoors,100% Synthetic,Badminton Racket,1464.40
HL0WA,Others,,Nail Paint,406.56
574GT,Others,,Lamp,1981.81
1QR32,Home & Kitchen,,Sauce Pots,1835.77
3D0Q7,Toys & Games,,Hot Wheels,1226.61
FDXXW,"Arts, Crafts & Sewing",Set of 10,Canvas,1140.19
HA9Y7,Electronics,,Airpods,767.42
1DDOW,"Clothing, Shoes & Jewelry",,Jeans,445.39
KGFX3,Electronics,【11th Gen Intel Core i5-1135G7】,Airpods,1006.41
UZP4Z,"Clothing, Shoes & Jewelry",100% Cotton,Tshirt,129.20
5YYXZ,"Clothing, Shoes & Jewelry",,Jeans,1713.13
WV9HK,Pet Supplies,,Pet Bed,1508.39
S686A,"Arts, Crafts & Sewing",Set of 12,Easel,761.99
G9M7N,Pet Supplies,,Pet Grooming,1293.15
JVBL3,Beauty & Personal Care,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Bath Soap,1214.55
XWR7P,Others,for everyday use,Nail Paint,1526.99
KP50X,"Clothing, Shoes & Jewelry",,Hoodie,620.33
US926,"Clothing, Shoes & Jewelry",,Rings,907.30
NBGBF,Pet Supplies,For your lovely pet,Pet Grooming,1525.16
L5GIN,Beauty & Personal Care,,Handwash,1255.90
TK7D3,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,Bowls,612.59
ZBF0U,"Arts, Crafts & Sewing",,Curtains,623.84
O138G,Electronics,,Charger,1269.65
NJSFH,Toys & Games,,Kite,1160.82
LOWMR,Toys & Games,,Teddy Bear,1031.45
JM6W9,Toys & Games,,Barbie,1989.16
KLDXU,Sports & Outdoors,100% Synthetic,Hat,1568.13
B5VSZ,Sports & Outdoors,100% Synthetic,Basketball,74.89
E8QIN,Office Products,For everyday office use,Marker,868.42
LHXAX,"Clothing, Shoes & Jewelry",,Jeans,887.21
KT4D3,Beauty & Personal Care,Suitable for all skin types,Handwash,1820.90
S5R0A,"Clothing, Shoes & Jewelry",Machine Wash,Jacket,846.82
K0OD4,Beauty & Personal Care,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Serum,890.55
HI5F4,Electronics,"【Display and Graphics】17.3 diagonal, FHD ",Mobile,425.61
D0HP2,"Arts, Crafts & Sewing",,Canvas,1118.19
N09LW,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,Spoons,360.41
16IVM,Beauty & Personal Care,,Toothpaste,1982.63
LCB44,Office Products,For everyday office use,Paper Clips,224.47
2AMC8,Electronics,,Kindle,131.46
63AUE,"Arts, Crafts & Sewing",Set of 12,Easel,1927.90
EF2TJ,Pet Supplies,,Water and Food Bowls,1236.87
K2P7S,"Arts, Crafts & Sewing",,Oil Paints,1578.59
DARQ1,Others,for everyday use,Lamp,1600.82
8EHE2,Toys & Games,"Unbox the package to find a soft, plush, sparkly doll!",Teddy Bear,29.31
P0CFL,Toys & Games,make a great gift for kids 3 to 7 years olds,Barbie,1663.61
70IDG,Pet Supplies,For your lovely pet,Water and Food Bowls,88.43
PLPMB,Sports & Outdoors,100% Synthetic,Sports Shoes,1125.71
VNVCW,Office Products,,Pencil,1775.12
SUNKO,Sports & Outdoors,,Sports Shoes,877.42
O13A9,Pet Supplies,For your lovely pet,Pet Bed,1278.80
0EY1B,Electronics,【11th Gen Intel Core i5-1135G7】,Ipad,1748.77
HM4EQ,Sports & Outdoors,100% Synthetic,Sports Shoes,369.78
5D3RE,"Arts, Crafts & Sewing",Set of 10,Canvas,1033.76
IVZSP,Pet Supplies,,Pet Bed,301.30
HDQYO,Sports & Outdoors,,Badminton Racket,1542.87
IO7DH,Electronics,,Airpods,969.41
NKK21,Sports & Outdoors,,Badminton Racket,1386.39
CWSQC,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,Bowls,731.92
DZ31Q,Office Products,For everyday office use,Pen,395.56
GC2P4,"Arts, Crafts & Sewing",Set of 12,Oil Paints,976.11
ZICO6,Electronics,"【Display and Graphics】17.3 diagonal, FHD ",Ipad,1293.81
QX44T,Home & Kitchen,,Mats,1772.49
9ZB67,"Clothing, Shoes & Jewelry",,Jacket,1510.12
QGXBD,Beauty & Personal Care,Suitable for all skin types,Serum,680.37
NO3D7,Toys & Games,make a great gift for kids 3 to 7 years olds,Teddy Bear,1950.31
XSH6I,"Arts, Crafts & Sewing",,Watercolor Pens,679.79
Y3FSM,Office Products,For everyday office use,Paper Clips,286.95
MQ11R,"Arts, Crafts & Sewing",Set of 10,Easel,1825.21
A4LXU,"Clothing, Shoes & Jewelry",,Boots,218.15
I6OOA,"Arts, Crafts & Sewing",Set of 10,Oil Paints,1961.46
8XBYU,Sports & Outdoors,100% Synthetic,Badminton Racket,539.43
86C5Y,"Clothing, Shoes & Jewelry",Machine Wash,Necklace,19.26
U6SD3,Others,,Lamp,1451.53
VYGZQ,Others,,Nail Paint,444.31
N3780,Beauty & Personal Care,,Bath Soap,337.52
IE9PS,Home & Kitchen,,Can Opener,1669.67
KNMHS,"Arts, Crafts & Sewing",,Oil Paints,890.79
WX1FK,Beauty & Personal Care,,Bath Soap,1020.62
W9K96,"Clothing, Shoes & Jewelry",,Jeans,1439.93
LA3AJ,Sports & Outdoors,,Hat,385.32
JO2XX,Home & Kitchen,,Can Opener,1959.89
KDEGL,Beauty & Personal Care,Suitable for all skin types,Facewash,1726.84
GJOBZ,Home & Kitchen,,Knives,666.71
GICM5,Sports & Outdoors,Cushioning provides excellent shock absorption,Basketball,691.61
DI1HA,Toys & Games,"Unbox the package to find a soft, plush, sparkly doll!",Kite,1654.53
GJD91,Electronics,【11th Gen Intel Core i5-1135G7】,Laptop Stand,1510.85
3ZUI3,Others,,Chair,219.65
5ZWHQ,Toys & Games,"Unbox the package to find a soft, plush, sparkly doll!",Teddy Bear,759.40
9P97R,Beauty & Personal Care,,Serum,858.89
OE2Q9,Toys & Games,"Unbox the package to find a soft, plush, sparkly doll!",Hot Wheels,1922.51
0YXN8,"Clothing, Shoes & Jewelry",Imported,Boots,1181.77
460DP,Beauty & Personal Care,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Handwash,858.40
M7KH6,"Clothing, Shoes & Jewelry",,Jacket,760.56
51ARP,"Clothing, Shoes & Jewelry",Imported,Hoodie,1214.51
MCCAP,Sports & Outdoors,,Sports Shoes,1370.40
Q83VE,Others,,Notebook,39.72
488MA,Pet Supplies,For your lovely pet,Leash And Collar,508.44
DHVEH,"Clothing, Shoes & Jewelry",,Boots,1977.36
OJI4X,Sports & Outdoors,,Hat,1428.35
HJ851,Beauty & Personal Care,,Facewash,1882.45
Y7FI8,Toys & Games,make a great gift for kids 3 to 7 years olds,Barbie,1786.91
9BECT,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,Sauce Pots,992.21
UNKPK,Pet Supplies,For your lovely pet,Water and Food Bowls,1296.36
FUFUY,Toys & Games,,Hot Wheels,377.27
DKDFO,Home & Kitchen,,Knives,1300.60
27G0S,"Clothing, Shoes & Jewelry",,Hoodie,768.49
E89NI,Sports & Outdoors,100% Synthetic,Badminton Racket,628.21
E3ZAU,Home & Kitchen,One of a kind stainless steel,Pans,426.40
EA6IA,Beauty & Personal Care,Suitable for all skin types,Serum,1744.79
YATQC,"Arts, Crafts & Sewing",Set of 12,Watercolor Pens,22.36
MS685,Beauty & Personal Care,Suitable for all skin types,Bath Soap,1474.48
XS8KW,"Clothing, Shoes & Jewelry",,Tshirt,264.89
HY8GL,"Arts, Crafts & Sewing",,Watercolor Pens,1887.50
N9H42,Sports & Outdoors,Cushioning provides excellent shock absorption,Badminton Racket,1554.31
OXE8Y,Home & Kitchen,One of a kind stainless steel,Spoons,826.48
WP531,"Clothing, Shoes & Jewelry",,Boots,243.80
M99J2,Toys & Games,make a great gift for kids 3 to 7 years olds,Hot Wheels,973.99
M1AN8,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,Spoons,137.79
VC6PY,Electronics,,Airpods,1388.40
LCUWW,"Arts, Crafts & Sewing",,Watercolor Pens,907.00
S098U,Pet Supplies,For your lovely pet,Leash And Collar,1650.10
2LIGE,Electronics,【11th Gen Intel Core i5-1135G7】,Charger,640.30
F3BJG,Office Products,,Sticky Notes,245.85
TVSML,"Clothing, Shoes & Jewelry",,Necklace,1690.55
VM62D,"Clothing, Shoes & Jewelry",Machine Wash,Jeans,880.79
MB43W,Office Products,For everyday office use,Pencil,112.66
I9MX6,Electronics,,Laptop,898.12
EXQ8Z,Others,,Nail Paint,1823.49
TC5HX,Sports & Outdoors,Cushioning provides excellent shock absorption,Hat,1004.77
KFUSM,Toys & Games,make a great gift for kids 3 to 7 years olds,Hot Wheels,795.87
6GAQ5,Electronics,,Laptop,1004.39
76NUJ,Beauty & Personal Care,,Handwash,950.41
P5KSZ,Pet Supplies,For your lovely pet,Water and Food Bowls,987.65
7J022,Toys & Games,,Kite,154.74
ITVZH,Office Products,For everyday office use,Pencil,616.72
HGTUB,Beauty & Personal Care,Suitable for all skin types,Serum,835.12
KO6CM,Beauty & Personal Care,,Handwash,1061.81
35P4U,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,Bowls,977.57
NLVHM,Home & Kitchen,,Knives,1010.35
N7AH7,Toys & Games,,Kite,1286.60
LIA4Z,Sports & Outdoors,100% Synthetic,Sports Shoes,88.73
VOLWA,Pet Supplies,,Water and Food Bowls,12.75
0TTD5,Home & Kitchen,One of a kind stainless steel,Pans,1108.43
X4VU4,Beauty & Personal Care,Suitable for all skin types,Facewash,117.14
SKZZR,Home & Kitchen,One of a kind stainless steel,Mats,1415.23
9Z764,Electronics,"【Display and Graphics】17.3 diagonal, FHD ",Ipad,1818.48
JZ52B,Electronics,Reams of high-bandwidth DDR4 RAM,Kindle,40.56
Y7LDW,Others,,Chair,1089.92
1Z6JT,Toys & Games,"Unbox the package to find a soft, plush, sparkly doll!",Barbie,1053.24
5BIP5,Office Products,,Pencil,610.19
MLQYB,"Arts, Crafts & Sewing",,Watercolor Pens,1402.30
KFWGM,Beauty & Personal Care,Suitable for all skin types,Facewash,47.30
ASJPL,"Arts, Crafts & Sewing",,Canvas,1613.95
SMCZ1,Others,,Chair,1241.32
WV94C,Beauty & Personal Care,,Bath Soap,1676.31
9AND1,"Clothing, Shoes & Jewelry",cotton feels great for comfort that lasts.,Jacket,83.21
UYC3L,Office Products,,Paper Clips,637.90
UPY2H,Sports & Outdoors,100% Synthetic,Hat,1552.18
VUGCZ,Toys & Games,"Unbox the package to find a soft, plush, sparkly doll!",Barbie,1864.99
S4FW7,"Clothing, Shoes & Jewelry",Machine Wash,Jeans,1518.22
8BKFG,Others,,Chair,132.87
ODIZH,Pet Supplies,,Pet Bed,360.92
5TQGH,Sports & Outdoors,Cushioning provides excellent shock absorption,Basketball,1557.56
LZZU6,Sports & Outdoors,100% Synthetic,Basketball,40.93
99XNC,Office Products,For everyday office use,Marker,160.36
A0D5X,Electronics,,Charger,1219.25
JE2Q7,"Arts, Crafts & Sewing",Set of 10,Acrylic Paints,1707.20
TPYEB,Others,,Nail Paint,803.82
5JK7S,Electronics,【11th Gen Intel Core i5-1135G7】,Laptop Stand,692.95
6CJK9,Pet Supplies,For your lovely pet,Pet Bed,888.73
P8AT3,"Arts, Crafts & Sewing",Set of 12,Canvas,1193.16
0T0EB,Toys & Games,,Hot Wheels,345.85
CAVRB,Pet Supplies,For your lovely pet,Pet Bed,52.57
ZULKZ,"Clothing, Shoes & Jewelry",,Rings,1676.80
X49BC,"Clothing, Shoes & Jewelry",100% Cotton,Tshirt,452.20
EJCH5,Electronics,,Mobile,1784.36
4YXU2,Pet Supplies,,Pet Bed,1137.53
PB4BQ,Sports & Outdoors,,Basketball,1946.48
A7TFD,Others,for everyday use,Notebook,671.83
M4N4M,Office Products,For everyday office use,Marker,1177.00
K0S54,"Clothing, Shoes & Jewelry",cotton feels great for comfort that lasts.,Jacket,240.70
W7QQY,Others,for everyday use,Lamp,1975.51
NAGIV,"Clothing, Shoes & Jewelry",100% Cotton,Hoodie,108.20
QYHTA,Beauty & Personal Care,,Toothpaste,496.13
KCY0A,"Arts, Crafts & Sewing",,Canvas,1744.66
V16D0,"Arts, Crafts & Sewing",,Easel,1068.65
10RVC,Toys & Games,"Unbox the package to find a soft, plush, sparkly doll!",Teddy Bear,1172.94
07W0X,Office Products,For everyday office use,Pencil,1559.25
WCYUW,Beauty & Personal Care,,Facewash,548.58
ETXR9,Pet Supplies,For your lovely pet,Leash And Collar,215.40
QYEGT,Office Products,For everyday office use,Pen,1425.78
9XSV8,Pet Supplies,For your lovely pet,Pet Grooming,1355.66
PB9YT,Beauty & Personal Care,,Facewash,1954.75
7PGKB,Home & Kitchen,,Can Opener,1950.28
DOY4U,Toys & Games,,Kite,1013.25
GL90J,Office Products,,Sticky Notes,866.76
C0YJ7,Beauty & Personal Care,,Serum,1369.52
6AY2F,"Clothing, Shoes & Jewelry",Imported,Rings,49.89
QULML,Others,,Lamp,782.30
3C4ZZ,Toys & Games,,Hot Wheels,1148.77
JLFEK,Electronics,,Kindle,1827.96
7C3FT,"Clothing, Shoes & Jewelry",,Tshirt,1299.70
D9WDR,Office Products,For everyday office use,Pencil,768.83
AA41I,Others,for everyday use,Plants,1339.27
QVZQO,Home & Kitchen,,Salad Spinner,1490.38
XEJ6U,Sports & Outdoors,,Hat,1319.75
RMQBB,Toys & Games,,Hot Wheels,621.33
WK598,Sports & Outdoors,,Basketball,1753.35
UDROS,"Clothing, Shoes & Jewelry",,Jacket,8.80
S4DF0,Toys & Games,"Unbox the package to find a soft, plush, sparkly doll!",Kite,1520.32
5KAXM,"Clothing, Shoes & Jewelry",Imported,Necklace,1389.25
1ZSNN,Sports & Outdoors,100% Synthetic,Basketball,133.54
IVU2I,"Clothing, Shoes & Jewelry",,Boots,1328.46
WO3HS,Home & Kitchen,,Mats,1664.46
BXB52,Home & Kitchen,One of a kind stainless steel,Knives,966.43
RX4XW,Office Products,For everyday office use,Pencil,174.88
2PAL6,Beauty & Personal Care,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Bath Soap,414.90
JUYN3,Sports & Outdoors,,Basketball,255.99
IS5EN,Electronics,"【Display and Graphics】17.3 diagonal, FHD ",Airpods,1872.76
AONGF,Sports & Outdoors,,Hat,439.68
OR2QF,Home & Kitchen,Professional quality at its best – the best materials to update your cooking!,Sauce Pots,1531.36
79GFO,"Arts, Crafts & Sewing",,Watercolor Pens,1359.22
91RZR,"Arts, Crafts & Sewing",Set of 10,Paint Brushes,1889.74
0A0VB,"Arts, Crafts & Sewing",Set of 10,Oil Paints,106.71
6FE1E,Electronics,,Speaker,913.89
L2X7C,Office Products,,Pen,278.94
L7D53,Toys & Games,"Unbox the package to find a soft, plush, sparkly doll!",Hot Wheels,1204.50
66TTC,Electronics,"【Display and Graphics】17.3 diagonal, FHD ",Mobile,508.96
E9ULD,"Arts, Crafts & Sewing",Set of 10,Oil Paints,1676.50
VRRVA,Home & Kitchen,,Mats,1683.74
NRZ97,Electronics,,Mobile,1105.80
V450J,Sports & Outdoors,Cushioning provides excellent shock absorption,Hat,1495.53
40ZOV,Others,for everyday use,Chair,1407.62
83E18,Sports & Outdoors,,Sports Shoes,721.23
Q7P5T,Toys & Games,,Hot Wheels,1900.30
X7HF2,Office Products,For everyday office use,Pencil,1190.60
W9WNR,Electronics,Reams of high-bandwidth DDR4 RAM,Laptop Stand,1082.77
XRFXW,Beauty & Personal Care,Suitable for all skin types,Toothpaste,994.95
Z5VTP,Home & Kitchen,,Sauce Pots,524.85
U2YGG,Home & Kitchen,,Spoons,862.44
Z5G52,Electronics,,Mobile,1871.40
2W7AO,"Clothing, Shoes & Jewelry",Machine Wash,Rings,1944.58
4TYA3,"Clothing, Shoes & Jewelry",100% Cotton,Jeans,1964.57
9HIMR,Others,for everyday use,Chair,1437.69
EGVM6,Sports & Outdoors,,Basketball,364.58
0VJPX,"Clothing, Shoes & Jewelry",,Jeans,1937.30
60CFU,"Clothing, Shoes & Jewelry",Machine Wash,Jeans,1409.37
AXZFG,"Arts, Crafts & Sewing",Set of 12,Easel,1163.43
38J7F,Beauty & Personal Care,,Bath Soap,549.88
ZMG9X,"Arts, Crafts & Sewing",,Easel,1613.94
YWB8U,Toys & Games,,Kite,942.56
JF1A2,Electronics,"【Display and Graphics】17.3 diagonal, FHD ",Airpods,703.59
JDLBS,Sports & Outdoors,,Sports Shoes,937.79
MV5EB,Sports & Outdoors,Cushioning provides excellent shock absorption,Sports Shoes,1141.90
WNEQH,Office Products,,Pen,1523.70
ZBRKF,Toys & Games,,Barbie,1856.16
6MXTX,Home & Kitchen,,Salad Spinner,1719.65
VR5PD,Office Products,For everyday office use,Sticky Notes,1786.66
O5CE5,Home & Kitchen,One of a kind stainless steel,Bowls,762.43
KGXBD,Sports & Outdoors,,Sports Shoes,1554.85
0VUV4,"Arts, Crafts & Sewing",,Watercolor Pens,326.25
AUR0N,Pet Supplies,,Water and Food Bowls,498.87
NAY94,Office Products,For everyday office use,Pen,494.39
8CHRN,"Arts, Crafts & Sewing",,Curtains,1221.80
REPG6,Toys & Games,,Barbie,568.37
2AAKL,"Clothing, Shoes & Jewelry",cotton feels great for comfort that lasts.,Hoodie,1522.42
