item_id,buyer_id,purchase_date
VK0WY,P6VUR,2022-10-21
WEF0G,GW2HV,2022-09-04
XLVRL,ZKOH6,2022-08-06
F5BQE,QYXDZ,2022-06-06
6L8G2,31DDO,2022-08-10
BM6UL,6MX7E,2022-09-28
MXE8U,2O26M,2022-09-29
5QRTB,U683A,2022-08-09
UGF82,HGY3Q,2022-10-28
O061O,HCL4N,2022-02-21
ELZBH,7SJZ3,2022-06-14
RORDN,IDNHZ,2022-05-13
F1VT3,N8X6I,2022-10-20
IJUC8,LNK75,2022-09-29
CFU2F,I1H4U,2022-08-09
L0MPT,6RFUG,2022-10-13
0TX2A,ZT599,2022-09-15
T2KOI,F6ASA,2022-06-24
62XYD,UWS65,2022-08-28
DH7PU,DHOPC,2022-03-28
IISIG,5161D,2022-10-21
EV5F7,1LA9S,2022-08-02
U0CDO,DQZ31,2022-05-11
WH2WV,ZZO7Y,2022-09-19
MAS6Q,XCUZG,2022-10-07
CB4CM,693CV,2022-07-30
RFSC5,6YV2J,2022-10-29
HBMTH,8XTIF,2022-06-14
LQK5J,LNBM4,2022-10-23
AB0N5,AM151,2022-10-18
6676O,ZZYOG,2022-04-28
YOZ3C,32D25,2022-07-26
R6FOJ,C0DKH,2022-08-29
78R60,8ADGX,2022-08-19
DNWUU,P7MWI,2022-10-15
BVCKC,B75QF,2022-10-28
86YME,PQ9TN,2022-10-03
3OO4B,KP67L,2022-07-23
WY7DF,YR89M,2022-07-15
P1S5D,EAJK3,2022-09-16
MP7WL,0QZU3,2022-10-24
P3DEP,G430I,2022-10-26
ZNU5M,6J1NZ,2022-03-31
7XYZA,XKF48,2022-07-17
ITYI2,SPS0M,2022-07-03
BMDTN,C52MZ,2022-04-28
X3UAF,TTWUE,2022-09-13
I356R,7M8II,2022-05-16
6PJCC,JSUMG,2022-03-21
NC2EE,WDTPK,2022-09-29
FPMGH,6OUEY,2022-08-16
4QIWB,EJCF2,2022-10-21
ZQ77O,RNYTZ,2022-07-08
SZXPO,D7QXD,2022-10-01
3RX0I,PJGUI,2022-10-19
PYFBF,4WQIB,2022-09-12
IGUH3,J6SLU,2022-10-04
TJGLM,UHK0I,2022-07-09
0RUP2,BEM0O,2022-08-18
K8BLY,DRUJF,2022-06-02
BR0XK,KQQ36,2022-09-05
200I1,D8QFI,2022-10-02
2QEOS,27188,2022-07-10
OLRYX,TOLIA,2022-05-11
WZRRL,S711S,2022-03-22
01BO0,TTWUE,2022-05-30
INJ0O,SR46Q,2022-10-28
G8SYB,SBGYO,2022-06-06
D9FIH,GU3PP,2022-09-18
921SB,FSRBH,2022-07-25
AQRKJ,1N21A,2022-10-05
TOY1X,J1JGZ,2022-06-05
4MREU,SSLG9,2022-08-09
UCP4V,DTEM6,2022-09-20
WLABD,NXRXT,2022-10-26
1L4VF,QN3Q7,2022-09-19
KRXYV,HGSO8,2022-09-29
KPTWD,MI9PQ,2022-10-24
GGF1D,V00RL,2022-08-31
DBXBK,ZIP2N,2022-05-25
3F9TL,QYXDZ,2022-06-04
W8GRD,2CCMP,2022-05-03
OLHBA,9RJNO,2022-09-30
SY32T,662WK,2022-09-20
U23VS,BRE9O,2022-09-13
QEWZZ,TR9ZH,2022-04-24
HOXC3,KJSXZ,2022-10-03
A54F6,2O26M,2022-10-29
3ZYZ5,4UQN9,2022-08-30
6WDOD,IHKYE,2022-10-23
3NXPF,L38IC,2022-04-06
0WS2G,DKV6T,2022-10-16
SDE5A,40KS6,2022-02-24
RWEGC,W4C6Z,2022-10-23
PMSQF,RI42F,2022-10-13
QEKVT,R2BKL,2022-05-10
7OWAR,L21YX,2022-08-23
3N2TZ,10SW3,2022-09-16
UB8C4,W0J0T,2022-07-22
J30TA,PZZ4T,2022-08-27
05T1K,AYMCG,2022-06-15
WPQ2D,LAZEE,2022-03-25
ACV5K,FPXIF,2022-05-01
9NK1W,UHK0I,2022-10-23
HGT1F,5BSNM,2022-04-29
4L7EB,MVY5K,2022-09-11
B8LZY,YRTVH,2022-10-18
DZMKZ,OJYFE,2022-07-19
OR4B7,HYBE0,2022-09-27
YZ6S4,ABX8N,2022-07-12
DQIGN,AGIEN,2022-05-30
NYA08,XOFFF,2022-05-30
5IXRK,UNIK9,2022-05-02
IX6E4,M8Q98,2022-07-26
6S907,96CTH,2022-09-28
TV4SE,006O3,2022-07-23
S0B27,Y2ZFL,2022-09-28
IJWP3,O8S8R,2022-10-11
FYHRP,QQV3F,2022-04-15
XEL1N,6QLXH,2022-07-13
L9P3N,STNED,2022-10-12
OSQNL,N35CF,2022-09-01
X6TFT,QYX12,2022-10-28
MBEW1,QFDCE,2022-03-05
H9K88,119G3,2022-04-11
N9B9M,PA5UC,2022-09-21
BM21V,NW0RD,2022-08-27
BXN3O,WRAT2,2022-10-26
WH64S,ULVGM,2022-06-02
IDWYZ,IEHMO,2022-10-27
JU8WW,Q44IP,2022-08-25
OB3ME,L2V08,2022-09-20
YNSB8,8WCLV,2022-05-06
L8I6F,0VBVH,2022-02-01
Q6BRQ,ZDG31,2022-07-08
MADUT,C6XFV,2022-10-28
VVFC5,3JK3B,2022-08-27
DR5HM,3IHDQ,2022-04-19
XIVDS,3YHIB,2022-04-07
EUDZ5,HL4LT,2022-07-23
C2YDP,HCL4N,2022-07-09
XWDWZ,ZZYOG,2022-10-20
57CQB,V1SSI,2022-03-09
1IJ4G,RSZ8L,2022-06-04
KEDMH,AKLNZ,2022-08-22
ZFSEL,AN1KX,2022-10-07
F71V4,QDZA0,2022-07-16
6HMTH,Q3K6Y,2022-09-25
3YK2E,BC3Y7,2022-10-02
C73RV,TKVLF,2022-08-15
D7NZZ,WBPXF,2022-07-11
YZX0A,3Y8CK,2022-08-11
PSLIF,Z5DB2,2022-07-25
ZOXPM,7KG61,2022-10-05
PL96O,RFQBB,2022-10-26
2JES3,JC623,2022-07-28
ICE45,F28UM,2022-09-10
IYARV,OKJP0,2022-07-09
9SBGK,9USEK,2022-10-07
8G4BO,R5O4G,2022-10-19
ZHIRU,UAT7U,2022-10-12
H78YV,JNP1L,2022-10-29
4DYXY,YFJB3,2022-09-27
UUUQH,GIPGW,2022-04-01
ZG4HN,HYBE0,2022-05-23
0XW9D,UOSC6,2022-06-13
UQMSY,K1NG4,2022-10-02
NQG7W,F6ASA,2022-09-26
JCKHV,3JK3B,2022-09-12
OLM34,U4CKQ,2022-04-15
S73FI,QFDCE,2022-08-02
0IXUU,ROX80,2022-10-15
5OTOB,RSJJY,2022-05-12
LBRR3,WOLNS,2022-06-17
0832A,9ACJU,2022-09-25
2SR3U,4YXU2,2022-06-29
JSDUQ,084LH,2022-09-27
L8WZZ,DZ83S,2022-08-05
3OPPI,NQFSU,2022-10-01
3UO3F,GWCEK,2022-10-15
S2WK2,EE1TK,2022-10-17
FTE5K,L21YX,2022-05-03
3HZ88,X6XFU,2022-10-15
HIBFV,6KEJ9,2022-04-30
6BULB,HGSO8,2022-10-25
RK5M7,N35CF,2022-06-29
R5P40,LH4PX,2022-09-30
I6L3Z,QZ491,2022-09-01
94OTL,0OSLH,2022-10-10
8ZFK9,0HH0X,2022-09-21
9V1V6,7D3PZ,2022-03-26
6XMAN,1DDCA,2022-10-22
DZ0XF,7KG61,2022-09-26
Y4RI7,R5HB4,2022-05-13
TZN76,GXBXO,2022-04-28
GS3YH,SRRB7,2022-10-17
HP259,5PG9M,2022-10-18
I0H46,7MV8H,2022-07-23
PYZ4Y,0FY88,2022-09-12
DS4GZ,3WTUH,2022-09-22
PR4UC,LAZEE,2022-07-25
A26N8,RSZ8L,2022-07-30
6NXK0,GP1WL,2022-10-26
W1G69,QGU1G,2022-09-18
